id,name,area,price_idr,lat,lon
58,Kost Bersih Sanur,Sanur,2800000,-8.7023,115.2589
59,Vila Mewah Ungasan,Ungasan,12000000,-8.8112,115.1612
60,Rumah Asri Singaraja,Singaraja,1500000,-8.1123,115.0923
61,Kost Premium Gatsu Barat,Denpasar,3000000,-8.6589,115.1989
62,Vila Pantai Medewi,Medewi,5000000,-8.4234,114.8423
63,Rumah Nyaman Bangli,Bangli,1600000,-8.4534,115.3523
64,Kost Dekat UNUD Jimbaran,Jimbaran,1500000,-8.7812,115.1678
65,Vila Eksotis Amed,Amed,4500000,-8.3412,115.6523
66,Rumah Modern Gianyar,Gianyar,2800000,-8.5389,115.3289
67,Kost Strategis Pemecutan Klod,Denpasar,1600000,-8.6712,115.2034
68,Vila Sawah Ubud,Ubud,9000000,-8.4989,115.2712
69,Rumah Sejuk Bedugul,Bedugul,2500000,-8.2812,115.1712
70,Kost Murah Sesetan,Denpasar,1200000,-8.6934,115.2112
71,Vila Mewah Seminyak,Seminyak,18000000,-8.6867,115.1589
72,Rumah Asri Klungkung,Klungkung,1800000,-8.5389,115.4023
73,Kost Nyaman Denpasar Utara,Denpasar,1500000,-8.6278,115.2178
74,Vila Pantai Lovina,Lovina,4000000,-8.1612,115.0312
75,Rumah Keluarga Mengwi,Mengwi,2200000,-8.5545,115.1712
76,Kost Premium Sudirman,Denpasar,2800000,-8.6556,115.2189
77,Vila Hillside Kintamani,Kintamani,5000000,-8.2423,115.3234
78,Rumah Minimalis Legian,Legian,6500000,-8.7012,115.1678
79,Kost Strategis Renon,Denpasar,2200000,-8.6767,115.2234
80,Vila Romantis Sidemen,Sidemen,3500000,-8.5134,115.4523
81,Rumah Asri Tabanan,Tabanan,1900000,-8.5378,115.1278
82,Kost Eksklusif Kuta,Kuta,3500000,-8.7178,115.1689
83,Vila Sawah Payangan,Payangan,4500000,-8.4456,115.2389
84,Rumah Nyaman Buleleng,Buleleng,1400000,-8.1134,115.0889
85,Kost Baru Panjer,Denpasar,1600000,-8.6845,115.2212
86,Vila Pantai Candidasa,Candidasa,5500000,-8.5034,115.5712
87,Rumah Sejuk Kaja Ubud,Ubud,3800000,-8.4889,115.2634
88,Kost Murah Peguyangan,Denpasar,1300000,-8.6212,115.2089
89,Vila Eksotis Nusa Lembongan,Nusa Lembongan,8000000,-8.6978,115.4489
90,Rumah Modern Kerobokan,Kerobokan,4500000,-8.6689,115.1723
91,Kost Strategis Imam Bonjol,Denpasar,2000000,-8.6612,115.2112
92,Vila Mewah Uluwatu,Uluwatu,13000000,-8.8278,115.0923
93,Rumah Asri Karangasem,Karangasem,1700000,-8.4512,115.6123
94,Kost Nyaman Dauh Puri,Denpasar,1400000,-8.6578,115.2023
95,Vila Pantai Kusamba,Kusamba,3500000,-8.5578,115.4234
96,Rumah Keluarga Tabanan,Tabanan,2000000,-8.5423,115.1312
97,Kost Premium Sesetan,Denpasar,2500000,-8.6923,115.2134
98,Vila Sawah Kedisan,Kintamani,4000000,-8.2712,115.3712
99,Rumah Sejuk Gitgit,Buleleng,2000000,-8.1923,115.1423
100,Vila Mewah Pererenan,Canggu,11000000,-8.6378,115.1289
